标题,日期,版次,内容
京都大学生举行大会  反对吉田反对政府  要求教育制度民主化,1946-05-31,第1版,"专栏：

　　京都大学生举行大会
    反对吉田反对政府
    要求教育制度民主化
    【新华社延安二十七日电】东京讯：麦克阿瑟虽在二十日发表禁止日本群众运动的声明，但日本人民的示威仍在继续进行，并已蔓延到学生与教员中间。名古屋二万有组织的工人，最近曾举行三小时的集会及游行示威，通过二十一条决议，包括要求即刻分发及增加延迟未发的配给米，并要求解散县议会，以及县长与名古屋市长等立即辞职。京都日本大学生亦举行群众大会，宣布他们反对吉田，反对政府，并要求教育制度民主化，以及学生生活的安定。有五个学生会的代表，向首相吉田及文部省大臣田中秀太郎及各政党，提出联合决议案，要求在教育机关中，驱逐战犯。教员资格审核委员会，应有学生代表参加。东京日本各校教师联盟七十名代表，为要求加薪事，曾赴文部省静坐罢教。据每日新闻载，秋田城亦有六百名教师举行示威，要求加薪，又讯：长野县府已成立人民团体，企图以人民自己来处理粮食分配问题。"
豫北晋南国民党军  开始出动武装抢麦  同蒲正太阎军抢粮日益猖獗,1946-05-29,第2版,"专栏：

　　豫北晋南国民党军
    开始出动武装抢麦
    同蒲正太阎军抢粮日益猖獗
    【本报特讯】夏收将至，本区边沿之国民党军与阎军，正积极进行其武装向解放区抢麦的阴谋，兹综合报导如下：
    国民党郑州绥署，于十七日召集所属及在其控制下之部队的高级军官，召开“治安会议”，绥署副主任兼第四绥靖区司令长官刘汝明，国民党三十八集团军总司令董剑，河南省主席刘茂恩，分别于十七日前抵郑。陇海路之地方杂伪部队首脑，已先后赶赴会议，该会由刘峙亲自主持，据知内情者称：进攻解放区部署抢麦为此次“治安会议”之主要内容。果然，“治安会议”结束后，伪孙殿英一部与汲县保安团已到该县上下庄开始抢麦。淇县保安队已出发到三区抢麦。安阳国民党军已将城周二三百米内麦子抢割一光。
    晋南方面：驻陕州与灵宝国民党军五十九师，于十八日由陕州向黄河北岸太阳渡运送给养，扬言于十日内进入晋南抢麦。驻运城、安邑之一六七师已强抓大批民夫准备出动。十五日国民党飞机一架飞至闻喜上空，盘旋二十余分钟，投下子弹二十三箱，手掷弹四箱，法币三百四十万元，并附密令一份，指示该城阎军“配合北上国军出动抢麦”。
    驻扎榆次同蒲正太沿线各碉堡阎军，抢粮活动，正日益猖獗，于本月中旬以前，相继召开各村“闾长会议”，宣布所谓“夏收纪律”，规定：谁若不能完成夏收抢麦任务，谁就以手枪、小刀、绳子、毒药“自裁”。阎军并提出：“宁愿饿死老百姓一村，不能饿死一个晋绥军”的口号。十三日榆次长凝据点之阎军，突然包围我北超村，抢去粮食五石、牲口六头，并绑架村民五人，强迫该村交麦五十石，法币三十二万元，出民夫六十人。十四、十五两天中，阎军继续至巩村双村东郝等村一带，绑人抢粮达三次之多，并迫其缴纳夏麦，否则即代为收割。现北合流村一带据点的阎军，为保证完成其武装抢麦计划，正大肆抓捕民夫，赶修十二座碉堡，并扬言蒋再侵占我北黄彩等解放区村庄。晋中方面，占我榆次、太谷间南庄，永康之阎军，正积极强修榆次通太谷汽路，以便利其抢粮和运输。最近更在榆次、太谷间集中六个团的兵力，在汾阳、孝义集中五千余人，准备抢麦。我边沿区人民为保卫自己的粮食，已被迫自动组织起来，准备一面抢收，一面自卫。"
感谢自由幸福的保卫者  东北人民热烈劳军  哈市十五万群众盛大庆祝民主联军,1946-05-20,第1版,"专栏：

　　感谢自由幸福的保卫者
    东北人民热烈劳军
    哈市十五万群众盛大庆祝民主联军
    【新华社长春十七日电】东北民主联军以热血保卫东北人民的自由幸福的英勇自卫战，博得广大的爱戴与欢呼，劳军热潮正在城市与乡村中普遍开展着。十三日，长春各界一百二十五人组成的劳军代表团，由劳军委员会副主任东北老教育家车向忱先生任总领队，代表长春八十万人民出发至四平街前线。在长春各界人士致前方将士的信中写着：“英勇地战斗吧，我们发誓拿出一切力量援助前线！”公主岭青妇教联于本月七日公演话剧歌咏慰劳指战员。近几天内，全市各机关团体学校前往慰问伤员达八次之多。辽北省东丰县之慰劳团，亦赴前线劳军。西丰县女子学校慰劳前线信中说：“你们是东北人民的好靠山，我们坚决拥护你们！”吉林县昌邑区工会和农会代表，在慰劳负伤战士后，含着热泪说：“他们太劳苦了！”吉林中苏友好协会全体职员，在慰劳信上写道：“我们誓愿坚决地沿着你们光荣的途径前进！”吉林市江北区的群众说：“在后方的老百姓，不知怎样感激你们好，只有拿努力种地，多多生产来报答你们。”吉林市医生会全体会员，也诚挚地写信慰问伤兵说：“请你们静心的疗养吧，我们愿尽全力使你们早日恢复健康”。安东回民协会四十余人，及安东市中央区工会员五百余人，均前往医院慰问负伤战士。此外，北满、辽西各地，亦组织慰问团去前线劳军。
    【新华社哈尔滨十七日电】哈尔滨市十五万工人、商人、学生、妇女、儿童，五月四日在兆麟公园举行欢迎民主联军的盛大庆祝会。是日，全市悬旗结彩，鼓乐四起，开会时英武的人民子弟兵步伐整齐的进入公园，全体严肃的站在李兆麟将军的墓前致敬。大会宣布开始，主席团主席谢雨琴以愉快激昂的语气致词，他说：“民主联军给哈尔滨人民带来了无限的幸福，温暖了每一颗枯寂的心，它是我们有力的国防，是新民主建设的灯塔，是我们伟大的救星！他们以自己的头颅和热血，把我们从日本强盗的魔手里救出来了，使我们得到了自由和生活的保障。现在哈尔滨听不到炮声，也没有盗贼和抢劫，我们应该献出自己赤诚的心，为保卫和平民主而和他们永远坚固的结合在一起！”接着，市民代表严治安、工人代表戴镇、商人代表张庭阁、青年代表赵乃禾、妇女代表孔焕书等，代表各界人民讲话，他们都向民主联军表示深切的感谢和欢迎的热诚，同时号召哈尔滨全体市民一致动员起来，支援民主联军。最后由哈尔滨卫戍司令部政治委员钟子云将军致答词，他说：“这个大会不仅是人民欢迎军队，也是军队欢迎人民，因为民主联军保护了人民，而东北人民也帮助了军队。钟将军于历述人民自卫军民主联军十四年来为人民利益而流血奋斗的许多历史事实后，号召全东北人民起来制止一切反动努力的进攻”。答词毕，即通过通电，大会于震彻云霄的激昂口号中闭幕。"
本市物价表（五月廿六日）,1946-05-28,第2版,"专栏：

    本市物价表（五月廿六日）小米                一斤                二五·○○小麦                一斤                二八·○○黄豆                一斤                二四·○○大米                一斤                六○·○○土布                一尺                五五·○○白洋布              一匹                一六二○○·○○海盐                一斤                五○·○○煮青                一匣                一○七○○·○○"
冀南银行在邢市  发放贷款三千万,1946-05-19,第2版,"专栏：

　　冀南银行在邢市
    发放贷款三千万
    【邢台市讯】邢台市冀南银行，自去年十月至今年四月止，共发放贷款总数三千七百零八万七千六百元，内中手工业贷款六百四十七万五千八百元，农业贷款一百四十五万一千三百元，商业贷款二千八百七十四万零五百元，合作贷款四十二万元。"
平汉川陕道上国民党军运忙,1946-05-15,第1版,"专栏：

　　平汉川陕道上国民党军运忙
    【新华社邯郸九日电】平汉路上军车辚辚，日前国民党军由新乡运抵辉县坦克十六辆重炮五门。晋豫地区国民党军，正积极进行胡宗南之短期突击训练计划。孟县及孟津之九十军，新乡之八十五军，运城之第一军，专门进行攻击训练。道清线之三十二军，安阳之四十军，汤阴、淇县之三十军，则进行攻击防御与清乡之训练。四日上午九时，由南飞来国民党飞机一架，在邯郸上空低飞侦察约一小时。
    【新华社延安十日电】记者顷从可靠方面获悉：国民党反动派在四月下旬，从陕南一带调动大军，均以载重汽车经褒城、凤县等地，运抵宝鸡，改用火车车运。现川陕路上兵车连日不绝，向北疾驰，沿途商旅莫不惊异。
    又四月廿三日辎重××团军字三零七一五号等七拾余辆美国十轮新大卡车，满载每箱装有八枚二拾七公斤重之炮弹，由陕南褒城运至凤县之双石兴，稍事休息后，复疾驰宝鸡，向东运送。"
长春市掀起翻身运动  苏皖边区四十万人反奸减租,1946-05-20,第2版,"专栏：

　　长春市掀起翻身运动
    苏皖边区四十万人反奸减租
    【新华社长春十七日电】长春市劳动人民，正掀起翻身运动。自民主政府成立后，即将全市划为敷岛、长春、东荣、和顺、宽城、顺天、大同等八个行政区，并组织八个工作队，进行工作。四月三十日，和顺区吉林分区市民，首先向德增盛、聚兴泰等九家配给店讲理算账，共算出贪污现金贰百余万元。五月一日，东荣区八里堡分区市民，举行分配敌伪土地大会，估计每人至少可分得一亩至二亩土地。五月七日，敷岛区吉野分区市民，经过公议，将敌人二十九间房屋分配给二十九家。市民居住市内，各工厂工人亦积极进行清算。长春烟草公司共清算出香烟五十大箱，价值六十五万元，全部交给工人。长春交通公司全体工人，提出过去“工会主任”戴峨典等贪污案件四十二件，现已选出清算委员十七名，进行工作。
    【新华社淮安八日电】苏皖边区五分区一个半月以来，普遍的展开了惩奸反恶霸减租减息运动，四十余万人热烈参加，淮安蒋台区廿天中，即有一万余群众卷入。先后惩办汉奸三十九名，清算恶霸土匪头子十四名，以及非法顽固地主高利贷者等若干名。伪匪稽逆培瑛、施逆先元（伪海安赵逆少斋部军需，潜伏在我解放区，企图暴动）孙逆开庆、恶霸沈兰亭等，均经人民公审，按罪恶轻重，加以极刑、徒刑、自新、赔偿损失等处分。群众运动在新老解放区，各有特点，在新解放区展开惩奸运动后，及时转入减租减息。如淮安冯间区，在四月五日惩奸工作初步结束后，十一日即召开三千多佃户的退租齐心大会。在老解放区展开运动的方法，是运用已有组织，大规模培养积极分子、创造典型，推动全盘。如建阳秉整区发动群众，开始即开四天全区五百多个农佃户大会，弄通了“谁养活谁”思想之后，群众觉悟性提高了，经展开对不减租的地主顾甲山的斗争，推动了整个地区的群众运动。"
日共首次出席新议会  提议开放全国粮库救济饥民,1946-05-22,第1版,"专栏：

　　日共首次出席新议会
    提议开放全国粮库救济饥民
    【新华社延安十九日电】东京讯：五位日本人民代表、日共领袖冈野进、德田球一、志贺义雄等，于十六日首次出席日本大选后新议会的揭幕典礼，这是日本议会有史以来第一次开始能听到真正代表人民利益的呼声。议会第一天开会时，日铁路工人约五千人，曾在国会大厦外作示威游行，会议曾因此一度中断。在选举议长时，日共议员与社会党左派议员，即联合起来争取议长职位，当反动派自由党借口日共议席少，妄言“无资格”任议长时，德田即予以严正驳斥道：“我们代表着占全人口百分之九十的人民利益”，但终于因反动派窃居议会绝大多数席位，因此议长由自由党的三木，副议长由进步党的木村霸占。在讨论议事日程时，日共提出首先讨论救济一千五百万饥民的生活，并具体指出救济方案，要求立即发放全国仓库与皇室存米给饥民。"
光荣的四平街保卫战  解放日报二十一日社论,1946-05-23,第1版,"专栏：

　　光荣的四平街保卫战
    解放日报二十一日社论
    在给进犯者以重大打击和杀伤以后，四平街民主联军已于二十日有计划地转移阵地。
    英勇的四平街保卫者，光荣地完成了自己的任务，在三十几天的血战中，不管对方所使用的美制飞机、大炮、火箭炮、坦克的轰击火力怎样猛烈，四平街的保卫者，表现了钢铁一般的意志，使进犯者遭受万人的损失，使国民党士兵开始发生厌战情绪，使反动派遭受应有的打击和教训！国民党反动派曾限令四月二日以前攻下四平街，他们迷信外国武器万能，轻视东北人民的力量，以为民主联军不堪一击，他们满拟一鼓而下四平街，他们的通讯社——中央社曾两次散布占领四平街的谣言（四月十五日和十八日），何应钦并于五月九日亲口宣布国民党军已到达公主岭以南，但是持续到一个月以上的四平街保卫战，打得反动派头破血流，粉碎了他们迅速占领四平街的计划与神话！四平街保卫战光辉地表现了东北人民争取和平民主的伟大自卫力量，这一保卫战对于全中国的和平民主事业，作了极其重大的供献，它将永载于中国人民的解放史上！
    中国人民歌颂着四平街保卫者的英勇业迹，同时也咒骂着反动派的卑鄙无耻！反动派遵行不抵抗主义断送了东北，他们从美国方面得到的飞机坦克以及一切武器装备，在日寇横行中国的时间，从来没有认真拿出来一用，但是，当东北同胞已从日寇铁蹄下解放出来开始建立和平民主生活的时候，反动派却向东北同胞以及民主联军开展了“八年抗战中未有的猛烈战斗”（益世报载赵公武军长的话），进行了大规模的屠杀！
    国民党内法西斯反动派一意孤行，向东北人民进行内战，妄图使东北人民回复暗无天日的生活，从而破坏全国和平，维持独裁专政，这是尽人皆知的事实。反动派一再声言“东北不在停战协定范围以内”，他们撕毁了东北停战协议，阻挠了执行小组的工作，拒绝了马歇尔将军与民主同盟的东北停战建议，甚至不惜勾结重用敌伪残余势力，疯狂的向东北人民猛攻，东北内战扩大的责任，当然是首先在中国反动派的身上，但是，必须指出，在东北人民坚强抵抗之前，反动派仍敢继续扩大进攻，这不能不说是由于美国方面对他的帮助。东北内战自开始一直到现在，美方对反动派的帮助，一向没有停过，不仅替他空运海运部队到东北去，不仅替他看守铁路港口，而且源源不绝地把美国人民血汗制造的各色各样武器，供给来屠杀和平的东北居民！反动派血手伸入四平街之成为可能，仅仅是由于它获得美国方面的无限的帮助。
    但是，我们要警告反动派：东北人民和中国人民的力量已空前的强大了，你们的内战独裁政策，不管外国人给予多少支持，终究是要粉碎的！
    东北人民和民主联军必将再接再厉，发扬四平街保卫战的精神，给进犯者以更大的打击，为和平民主坚决自卫，不达目的誓不中止！
    东北人民的自卫战斗，是全国人民和平民主事业的重要部分，我们号召全国同胞起来，制止反动派的内战罪行！我们并号召美国人民要求美国政府，立即停止对国民党政府的援助！"
民族阵线政府政绩卓著  捷克人民举行大选  实行亲苏与民主国家合作大企业已国有化  七十五万农民分得土地国内民族团结巩固,1946-05-29,第1版,"专栏：

　　民族阵线政府政绩卓著
    捷克人民举行大选
    实行亲苏与民主国家合作大企业已国有化
    七十五万农民分得土地国内民族团结巩固
    【新华社延安二十六日电】布拉格讯：今天捷克人民举行其自一九三五年以来第一次民主的大选，选举新国会的三百名议员，以起草新宪法，并选举总统。参加此次大选者，为一切年在十八岁以上的捷克公民；在捷克历史上，妇女与在役军人于今日亦第一次获得选举权。自红军解放捷克以来，由四个捷克政党（共产党、天主教人民党、社会民主党、与国家社会党），及两个斯洛伐克政党（共产党、与民主党）所组成之民族阵线政府，在其执政中，已卓著政绩：第一，它确定了亲苏及与一切民主国家善邻友好与合作的外交政策。第二，在国内问题上实行了重要的经济政策，首先是主要工业部门、银行、与信托公司国有化的法令，严重地打击了帝国主义与法西斯主义的基础——独占资本，现在捷克已经有了一万家国有化企业，其所雇用之工人与职员，占全国百分之六十，转入国家手中的机器工具与电气用品工业，已占全国百分之八十四，其所雇用之工人达四十万。其次，实行土地改革的结果，被国家没收的一百五十万海克脱土地及一百万海克脱森林地中，已有一百一十万海克脱土地分给了无地或少地的七十五万农民。第三，它正确地解决了捷克国内捷克人与斯洛伐克人之间的民族平等关系，巩固了国内民族的团结。至于在改革财政收支及恢复国民经济等方面，民族阵线政府也都获得了实际的成果。民族阵线为使全国人民更自由表达其意见于此次大选中，并采用“白票”，使一切未参加政府的各右翼政党及人民，写出自己的不满。无疑地，捷克人民将于今天举行的选举中，表示其拥护民族阵线的热诚，巩固捷克的民主发展，并击碎在选举运动中已显现的右派反动分子“他们得到天主教人民党与国家社会党某些领袖的支持，以反共反苏的口号分裂民族阵线，破坏国家民主团结的”阴谋。"
苏皖我军恢复萧县  中原执行组调查顽军进攻情况  东北国民党飞机轰炸和平居民,1946-05-26,第1版,"专栏：

　　苏皖我军恢复萧县
    中原执行组调查顽军进攻情况
    东北国民党飞机轰炸和平居民
    【新华社淮阴二十三日电】军息：上月二十七日，被国民党八十八军所侵占的苏皖边区萧县，已为我军恢复。
    【新华社临沂二十一日电】鲁南方面，兖州伪军吴化文部于十三、十四、十五、十六四日内，均以千余兵力向城东之古城，石马庄、傅家楼、五圣堂及城北穆家庙等地进犯，咸被驻军击退。枣庄伪军王继美部，连日仍向八路军驻地射击，每日发炮百余发。临城国民党十九集团军，自上月下旬以来，迭向九龙山、店子西我军驻地发炮与偷袭。胶东方面，驻即墨城国民党军第八军一六六师及伪军葛天明部，于十六、十五两日出动七百余人，向城东北官庄、舞旗山一带进攻，被驻军击退。
    【新华社宣化店二十二日电】赴陂（黄陂）安（黄安）以南的宣化店三十二执行小组，于十六日出发经三日时间，在大成潭、柿子树店、成耳岗、红毛砦、詹店一带，调查国民党军向中原军区驻军进犯情况。调查后，该小组于十九日下午四时返宣化店，国民党代表陈谦则已由河口返汉。王副司令当日走访小组代表，对其连日辛劳表示慰问，并盼三十二执行小组能有效的根据汉口协议执行调处，制止国民党军的进攻。
    【新华社安东二十一日电】国民党军以重大损失，于本月三日侵占本溪旧城后，即出动飞机，连续向安沈铁路各站之和平居民轰炸。四日上午十时，国民党飞机一架飞至桥头车站（本溪南二十五里）于低飞扫射后，又投弹多枚，桥头原为一繁荣市镇，经此轰炸，全市房屋尽成瓦砾，人民所有资产全部毁灭。五日下午二时，国民党飞机复轰炸草河口（本溪南一百二十里），除残杀和平居民十余人外，并投掷大量燃烧弹，正逢南风大作，火势愈炽，驻军全体出动抢救，历六小时始熄，全村三分之二房屋烧毁，街头巷尾一片哭声。其他南坟、马塘、连山关等车站（均在安沈路上），亦均遭轰炸，人民损失无法统计，现民主政府正积极设法救济，抚恤被灾人民。"
开封会谈宣告停顿  边府决定派员赴京协商,1946-05-15,第2版,"专栏：

　　开封会谈宣告停顿
    边府决定派员赴京协商
    【新华社晋冀鲁豫总分社邯郸讯】晋冀鲁豫边府驻开封黄委会代表团于九日来电称：“国民党政府全国水利委员会主任薛笃弼曾于二日赴汴，不仅对荷泽协议根本不提，且花园口堵口工程仍加紧进行，现土工业已大部完成，最近即准备打桩，而陇海路以北之复堤工程并未作任何准备。上月廿日，在花园口会谈时，各方共同决定在八日会谈，竟又无形停开。”又称：“违反荷泽协议，继续堵口，固系国民党当局之主张，各方认为停止堵口先行复堤浚河等问题在汴无法解决，须到南京协商。”据此，我晋冀鲁豫边区政府现已决定派开封代表团之赵明甫、王笑一二代表前赴南京，与国民党中央协商执行荷泽协议问题。"
刘茂恩妄图消灭豫东解放区  计划书中阴谋毕露  命令规定：番号用代号军衣换便衣,1946-05-18,第1版,"专栏：

　　刘茂恩妄图消灭豫东解放区
    计划书中阴谋毕露
    命令规定：番号用代号军衣换便衣
    【新华社邯郸十五日电】记者今日获得国民党大举进攻我豫东解放区的计划一份，该计划系“遵照刘主任茂恩酉计电令”，企图“彻底肃清”我豫东解放区部队。“尤须严防匪向西北东南逃窜”。该命令中规定“进剿部队一律换便衣”，对于识别记号，该计划称：我（国民党自称）进剿部队应于一、四、七、十各日用毛巾或其他用品，围在颈上；二、五、八日绑在左臂；三、六、九日绑在右臂，无论进剿，防剿，及机动部队均不带臂章符号以及番号、姓名，即有番号，姓名之纸张，下命令及通讯时，一律用代号、讹名”。计划中规定田镇州讹为“守策”，代字为“计”。计划中规定参加进攻我豫东解放区的部队有一八一师米文和部与八十一师葛开祥部五个营，省与专区保安团六个，第四分队两个团，十五个县保安团队。该计划补记中并规定“各县区应自筹一个月给养”。
    【新华社邯郸十五日电】继新乡两参谋长会谈，郑州绥署参谋长赵子立无理否认我豫东解放区存在后，国民党于五月八日又向新乡小组提出备忘录，仍然否认元月十四日前豫东有我八路军存在的事实。记者以此往访晋冀鲁豫军区当局，军区当局当以六十八军一一九师元月十四日致我晋冀鲁豫豫东军分区金克勤司令员的原函出示，该函略称：“久仰戎仪，深以未得识荆为怅！我双方敌对一时，现我政府与贵方代表对于停止冲突业经商定办法，公布下开命令（略），现我方已遵上项命令实施，贵方有何意见，敬希派员连络，免生误会”等语。这一函件是元月十三日停战命令生效后的次日，由国民党军高级司令部送交豫东我八路军的。我军接函后当即派参谋前往连络，事实证据俱在，元月十四日前豫东区有无八路军即可一目了然。今国民党军一再否认我豫东解放区，接着秘密布置三万余人的围剿，其目的显在发动内战，制造大规模的流血事件。军区当局认为事态已极严重，如果发生不幸事件，应由国民党负其全责。并称：军区已将该函摄成照片，准备送交北平执行部与各有关机关。"
本市商人集会座谈  戎副主席阐述工商政策,1946-05-18,第2版,"专栏：

　　本市商人集会座谈
    戎副主席阐述工商政策
    【本市讯】邯市各业商人三百余，十六日假边参会礼堂举行座谈会。边府戎副主席莅临讲话，主要是阐述工商业政策，特别鼓励经营皮革、火柴、洋灰、铁、颜料、肥皂、纺织、榨油、造纸等业。除营业税减轻三分之一外，还可予以贷款帮助。提高工资，优待技术人员，同时照顾厂方获利，保证资本家利润要比在国民党区域大。公营公厂及商店，除供给性质者外，不得享有任何特权。接着王市长发言说明政府发展商业资本政策，他说：商店存有敌伪资金者，仅接收其敌伪部分作为政府或群众的股金继续经营，并不抽出。裕茂祥皮货店存有敌人一批货，自动报告后，市府即是按上项办法处理的。他又说：解放前后因敌伪欺骗宣传而逃亡的商人，欢迎其回乡经商。席间，各业商人听了政府的商业政策，均频频点首，非常满意。最后，为贯彻工商业政策，加强商人工作，会议决定将商会扩大改组为商联会。先成立商联筹备会。聘请裴增仁，杜善政，刘仁农，张聚田，杨理，李生堂，李清洁，任秉献，倪惊涛，郭瑾为委员，王庚午，李吉瑞，张国祥为正副主任。大中商人及小摊贩也有自己的代表。接着筹备会主任王庚午及原商会会长杨慎卿等相继讲话，会议历五小时始散。"
抗议！！  国民党飞机窜扰延安,1946-05-24,第1版,"专栏：

　　抗议！！
    国民党飞机窜扰延安
    【新华社延安廿一日电】昨日午后三时，国民党飞机两架侵入陕甘宁边区上空，先在鄜县甘泉一带侦察，旋即飞入延市上空，盘旋侦察约十五分钟后，始向西南方向窜去。按国民党飞机曾于十五日扫射鄜县四仙村，边区各界人士对此不法行为，咸表愤慨。
    【新华社遵化二十一日电】十七日上午，国民党飞机三架在玉田县属林南仓上空盘旋侦察，并用机枪扫射当地和平居民。"
解决农民劳力缺乏困难  与民村创办劳力合作社  随时可以雇到短工，全村称便。,1946-05-29,第2版,"专栏：

　　解决农民劳力缺乏困难
    与民村创办劳力合作社     
    随时可以雇到短工，全村称便。
    【本报长治讯】襄垣兴民村，在今年大生产运动中，创造了一种劳力合作社，以解决翻身后上升中农及贫苦农民生产劳力的缺乏。该村为襄垣生产模范村，往年全村劳力即感缺乏，特别是减租减息以后，新升的中农，和取得土地的贫苦农民劳力更为困难。为此，该村合作社特出资雇长工六人，并吸收附近村庄之短工参加，举办劳力合作社，使缺乏劳力的翻身户和上升中农，均可随时出资，向合作社雇用劳力，使生产能适时进行，所费工资，一般还较雇用短工为低。此种办法实行后，极受全村劳动人民的拥护和欢迎。"
美当局高压下  四十万矿工仍罢工  杜鲁门召集紧急会议,1946-05-31,第1版,"专栏：

　　美当局高压下
    四十万矿工仍罢工
    杜鲁门召集紧急会议
    【新华社延安二十八日电】二十五万美铁路工人，“在杜鲁门高压下复工”（美铁路职工会主席威特乃语）后，美国八个州的四十万煤矿工人，仍不顾受征入伍与严厉惩罚的威胁，于二十五日重行罢工，罢工当天，杜鲁门即在国会联席会议上发表演说，向罢工者发出警告，并敦促国会迅即通过剥夺工人罢工权利的如下法案：（一）禁止任何职工会领袖鼓励或煽动工人罢工；（二）对无故坚持罢工之工人，褫夺其优先任职权；（三）对违反法案规定的工人与职工会领袖，予以刑事处分。该项反劳工法案，业经国会通过。二十六日杜鲁门又召集克鲁格内长等举行紧急会议，讨论紧急对策，政府当局派遣军队接收矿厂，并实行抽签与保护。但尽管当局施行压迫，煤矿工人迄今仍冒威胁之险，坚持罢工中。据宾夕法尼亚州西部煤矿业主协会发言人二十七日宣称：四十万矿工中停止罢工者，不及一万人。在肯塔基州二十七日晨，在军队“保护”下复工者，仅八十人。俄亥俄州、伊利诺斯州、田纳西州及阿拉巴马州的绝大部分地区，罢工仍继续中。"
一个欢快的茶会  庆祝本报创刊  磐石同志再三要求大家多帮助,1946-05-16,第2版,"专栏：

　　一个欢快的茶会
    庆祝本报创刊
    磐石同志再三要求大家多帮助
    【本报特写】半个月来，邯郸市火街东口的大楼经常被朋友们所访问。我们——人民日报的工作者，愉快而忙碌的接待着自己的客人。“大报能按时出版吧！”“十五号快到了！”这种情感洋溢的期望与鼓励，变成督促我们积极筹备的力量。
    匠人们流着汗水，赶塑“人民日报馆”、“新华通讯社”的门额，军区政治部艺术科的同志们亲自参加指导。军人、市民、公务员、学生们经常围着大楼伫足而观。在楼上忙于编写的人们看到这种热烈的情形，心中泛起一种欢欣感激的复杂情绪。这群众的关心，社会的期望，对于我们这些青年人，该是多么有力的鼓舞呢！
    党政军首长及三局等机关的同志们几乎每天询问筹备的情况，指示一切，解决困难。磐石同志常常这么轻轻的提醒着：“不要辜负大家的期望啊！”
    日子一天天的逼近了，已经到了十四号。印刷厂排字房从清晨就全体动员，编辑记者们跑到工厂里当校对。刻字工人汗流满面，精雕首长的题词。午饭不吃，午觉不睡。一直忙碌了十二个钟头。新华书店新添了许多顾客，这一天订报的有八百四十份之多。
    印刷厂的机器通宵劫动着。十五日上午八点钟，报纸出版了。邮局的自行车跑到报馆的门前，他们知道了报纸还在工厂时，立刻又向工厂驰去。不久，街头的阅报处挤满了人。
    十点钟，在邯郸中学礼堂举行创刊典礼茶会。首长们、各机关团体的代表和本报的工作人员坐在一起，大家浮着一个相同的笑脸。刘司令员身体近日稍感不适，但也很高兴地和邓政委一起来了，用两重眼镜端详着创刊号。
    磐石同志乘着这个“检阅第一期报纸”的机会，把本报筹备的经过，现在的情况和将来的计划报告了一下，他在报告的结尾说：“报纸能在今天出版，首先要感谢各方面精神上、物质上的鼓励与帮助”，因为“现在仍有许多困难，对各方面可能有照顾不周的地方，请原谅。并希望尽可能多多帮助。”
    杨秀峰主席满面笑容，几次提到自己“很高兴”。他说：大报应该多多登载全区性的大问题，例如关系几百万人生命的“黄河归故”问题，就该连续、深刻的披露。第一期这样作了，“作得很好”。他认为今后应该加速传递，加强通讯工作，以发挥报纸更大的效果。
    张际春同志首先把报纸及通讯社的同志鼓励了一番。提出今后要注意“帮助领导”、“组织斗争”、“交流经验”；“依靠大家的力量，把报纸搞得更完善些”。
    邢肇棠副议长对报纸的出版，“竭诚祝贺”，并提出许多具体意见，“多宣传我们的民主运动和基本政策”。注意在宣传上，采用多种多样的形式，提高文字技术。
    任白戈、陈斐琴等同志都说了话。任白戈同志感谢这个精神食粮的出版。的确，大家都很需要它，在开会之前及讲话的间隙中，每个人不是都在静静的读着它吗？但是，怎样才能把它办得更好些呢？磐石同志最后除对大家拨冗莅会表示感谢外，又再三提出“请以后随时提示意见，多多帮助”。"
