,版次,日期,Segmented_Content
88,第2版,1946-05-20,平绥路 三百里 通车 公路 晋西 陕北 相联 兴县 十七日 绥蒙 区内 平绥铁路 通车 者 已达 三百 二十余里 丰镇 至 孤山 自 四月 七日 起 亦 开始 办理 客货运输 大批 粮食 源源 南运 大同 公路 通车 者 绥蒙区 丰镇 至 凉城 凉城 至 西沟 门 丰镇 至 集宁 左云 右玉 地 共达 一千 二百余里 集宁 城东 霸王 河桥 敌 破坏 五年 于兹 现正 赶修 此桥 竣工 则 集宁 红格尔 图间 蒙汉 交通 畅行无阻 横亘 晋绥 之丰 镇 离 石 干线 一百里 开始 通车 第一辆 试车 丰镇 安抵 兴县 丰离 干线 南端 有离 石 柳 林 支线 陕甘宁 之绥 德 吴 堡 支线 相连接 保护 路基 边区 行署 军区 司令部 特 发出 联合 通告 严禁 公私 大车 通行 路面
89,第1版,1946-05-31,英军 留恋 伊朗 石油 迄今 未自 巴林 岛 撤退 延安 二十八日 德黑兰 伊朗 阿什 塔报 要求 政府 派 调查团 至 伊朗 南部 调查 英军 是否 确已 自 该地 撤退 该报 又称 英军 迄今 未自 伊朗 巴林 岛 撤退 位于 波斯湾 系 石油 产地 这种 行动 安理会 为什么 没有 提出 任何 讨论 呢 延安 二十八日 开罗 由于 埃及 当局 对 英方 计划 发生 异议 英埃 谈判 已陷 停顿 英 代表 返英 外相 贝文 请示 据悉 埃及 拒绝 英埃 条约 规定 战争 威胁 下 英军 得 重新 开 入 埃及
90,第1版,1946-05-27,欢迎 马歇尔 声明 军区 发言人 称 我以 严正 态度 坚持 停战 令 愿 美 公正 人士 合作 维护和平 晋冀鲁豫 二十四日 此间 各报 均 首版 最 显著地位 刊载 马歇尔 总部 二十日 声明 各方 人士 对 马歇尔 将军 制止 东北 内战 澄清 华北 局势 对 若干 好战 分子 发出 警告 特别 欢迎 军区 发言人 称 本区 军民 对 政协 决议 停战 命令 军调部 一切 命令 始终 信守不渝 坚持 停战 命令 而作 重大 忍让 中外 人士 所 共睹 乃 国民党 好战 分子 不顾 全国 民主人士 盟邦 友人 对 中国 和平 期望 忠告 蓄意 挑动 全国 内战 步步 进逼 目前 豫东 国民党 军向 围攻 已达 两周 久 陇海 北侧 国民党 军 正向 北 全力 压缩 战机 一触即发 其他 各线 国民党 军 亦 正向 逐步 蚕食 本区 形势 实较 一般 所 想象 者 严重 最大 忍让 最 严正 态度 坚持 停战 命令 愿 坚定 公正 美国 人士 继续 密切合作 维护 全国 和平
91,第1版,1946-05-26,军调部 颁发 字 第七号 命令 调查 违犯 停战 令 行动 北平 二十三日 北平 军事 调处 执行部 十七日 颁发 字 第七号 命令 原文 如下 南京 三人 委员 致 北平 执行 总部 三十五年 五月 十一日 此文 三人 会议 致 执行部 三 委员 下项 决议 已经 三人 会议 同意 立即 使 其 有效 有效 补充 三人 会议 三 委员 所定 一切 有关 停战 协定 所 同意 者 准许 执行 总部 执行 小组 调查 一切 有违 此项 协定 报告 保证 立即 调查 此项 所 报告 一切 违犯 现获 一致 协议 如下 政府 中共 双方 军事 行政当局 对 执行 小组 行动 给予 一切 帮助 不得 加予 任何 延迟 或 限制 二 政府 中共 双方 军事 行政当局 保证 执行 小组 人员 自由 安全 保障 三 任何 执行 小组 区域 之内 政府 中共 双方 得 同等 调查 机会 但 调查 次序 应 违反 协定 严重 紧急 而定 其 优先 次序 基本 原则 不得 因上 项 方针 有所 迟延 或 阻挠 四 关于 前往 各 地区 巡视 次序 小组 美方 代表 主席 资格 拟定 应 经由 小组 各 代表 一致同意 执行 若 双方 同意 时 应即 呈报 三 委员 二十四 小时 内 商议 取得 同意 若 再 不能 同意 时 应即 呈报 三人 会议 五 若 发觉 违反 协定 虚伪 报告 送交 小组 调查 则 三 委员 应 此项 虚伪 报告 陈三人 会议 采取 制裁 办法 此电 正文 三人 会议 原稿 完全相同 其中 文 译稿 业经 核对 无误 上开 电报 系 国民政府 代表 徐永昌 将军 中共 代表 周恩来 将军 美方 代表 马歇尔 将军 签署 现此 电发 执行部 各 小组 时 其中 第二十七 二十八 二十九 三十 小组 除外 执行部 三 委员 政府 方面 郑介民 中共 方面 叶剑英 美国 方面 饶伯森 签署 附 电令 说明 此电 各 地区 负责 指挥 长官 转达 当 地区 负责 指挥 长官 转达 当地 同级 政府 当地 最高 政府 印发 致 当地 市 县政府 二 各地 负责 指挥 长官 收到 比电 日期 时间 须 立即 电告 本部
92,第2版,1946-05-26,邯郸市 政府 清查 敌 占 田产 发还 群众 农民 成 自己 土地 主人 生产 情绪高涨 本市 敌 华北 棉业 改进 社 伪 道 尹 公署 曾 邯郸 周围 柳林 桥 小 屯子 南辛庄 西南 庄等村 贱价 强逼 买 去 民间 土地 达 二十四 顷多 建立 农业 实验场 棉业 学校 太康 农场 小麦 园种 圃 四处 农场 使 广大 丧失 土地 农民 饥寒交迫 无法 生活 解放 邯郸 许多 失地 贫苦 农民 市政府 要求 发还 敌伪 强买 去 土地 民主 政府 即派 专人 柳林 桥 小屯 各 农场 进行 调查 了解 群众 对 农场 土地 意见 村干部 开会讨论 决定 除 农场 公共建筑 实验 场所 予以 保留 外 贫农 敌强 买 去 土地 全部 发还 以施 救济 已于 春耕 前 项 土地 一千四百 十六 亩 发还 这些 农民 过去 敌人 掠夺 自己 土地 像 农奴 一样 替 敌人 无 代价 耕种 一季 麦子 麦收 自己 种 一季 秋粮 还 得 给 敌人 出租 子 现在 重新 成 自己 土地 主人 生产 情绪 空前 高涨 喜形于色 准备 收 麦种 秋 市政府 对 城关 各区 敌伪 时 侵战 占 土地 房产 问题 正 积极 进行 调查 处理 连日来 市政 科 协同 南关区 干部 调查 原伪县 合作社 仓库 第一 二 商场 公共 体育场 地 敌人 曾以 贱价 群众 强买 掠夺 土地 修盖 仓库 民主 政府 为了 保障 群众 地权 财权 调查 特 召集 该地 房主 开会 讨论 解决办法 通过 群众 民主 讨论 大家 同意 愿 该 仓库 现 参议会 所 占 地产 按 实值 价卖 给 政府 墙外 十九 亩 土地 全部 发还 群众 二十三日 午前 市政 科已 该 仓库 所 占 各户 地产 丈量 完毕 分别 处理 群众 甚为 满意 当天 晚间 继续 解决 第二 商场 公共建筑 所 占 地产 问题 冰
93,第1版,1946-05-17,四平 街 保卫战 胜利 声中 国民党 军 士兵 厌战 哨兵 携带 美式 武器 投诚 战士 班长 夜话 内战 何时 尽头 四平 街 十四日 本社 记者 陈沂 报导 进攻 四平 街 国民党 军 现已 开始 发生 厌战情绪 月 三十日 下午 七十一 军 九十一 师 二七 二团 三营 八连 一排 三班 一等兵 张 明秀 丁文芳 二人 携带 美式 步枪 两枝 子弹 百余 发 自动 跑 至 八面 城北 民主 联军 阵地 要求 发 给养 费 回家 早 自己 家乡 江苏 如皋县 知道 八路军 新四军 爱国 爱民 好 军队 所以 这 一次 见到 战场 对面 八路军 乘 放哨 机会 跑过来 类此 厌战情绪 同样 四平 街 前线 新 军中 酝酿 因为 两军 阵地 相距 甚近 只 隔 五十米 达 每当 夜静更深 枪声 稀疏 时 可以 隐约 听到 躺 地堡 里 国民党 军 士兵 班长 谈话 一个 士兵 这个 自己 打 自己 仗 那天 才 尽头 呢 走 不好 吗 班长 绝望 地 回答 四面 包围 得 像 铁桶 一样 跑 那里 去 新一军 攻击 时 受到 伤亡 伤号 尸体 往往 被遗弃 战场 只要 枪声 稍停 无风 沉静 时 便 可以 听到 新一军 阵地 士兵 悲惨 哭叫声 有时 甚至 狗 咬 食 民主 联军 指战员 睹 此 惨状 常 冒险 前往 掩埋 或 治疗 散发传单 给 新 一军 请 掩埋 尸体 拖回 伤兵 只要 不带 武器 民主 联军 绝不 射击 但 由于 国民党 高级 军官 残忍 无情 迄今 仍 置之不顾 放下 武器 十七 师 工兵营 二连 中尉 连 副 彭 志远 最 痛心 战场 尸体 伤号 没人管 最 感佩 最 感动 你们 八路军 无论 什么 危险 时候 不顾 牺牲 自己 总要 把 战士 尸体 伤号 拉 下来 至于 民主 联军 解放 万余 国民党 军 官兵 表示 绝不 愿意 内战 七十一 军 上校 高级 参谋 王化民 七十一 军 九十一 师 二三 三团 二营 营长 丁 国柱 十三 军 十九 师 一六六 团 副团长 罗彦雄 七十一 军 八十四 师 二六 团二营 营长 郭朝升 新一军 三十八 师 一一 三团 八四 连连 长朱 执业 彼此 见面 第一句 话 国民党 东北 打 内战 一个 绝大 错误 为此 离开 我军 临行 前 曾 联名 写信给 长官 士兵 告诉 不要 再 打 内战 而作 无 价值 流血牺牲
94,第2版,1946-05-23,组织 联防 加强 民兵 冀南 人民 扑灭 特务 凶焰 恩县 消灭 暗杀 团 十一名 本报讯 特务 活动 猖獗 引起 冀南 军民 极度 愤恨 纷纷 组织 联防 加强 民兵 各地 热烈 集会 研究 防特 捉特 方法 冠县 荒区 二十个 村 村干部 四月 二十二日 举行 会议 商定 打更 防特 办法 决定 全荒区 一个 联防 区 建立 联防 大队 二十个 村 互相 援助 村 村 互助 检查 奖励 打更 积极分子 魏县 武 委会 利用 民兵 打堤 时间 加强 时事 教育 防特 教育 四月 三十日 武城县 长 更 亲率 民兵 捕获 特务 十九 名 缴枪 十余枝 子弹 六百 发 四月 二十五日 恩县 人民武装 直属 德州 孙 逆光 涛 指挥 暗杀 团 第二 营长 靳 金榜 十一 全部 消灭 四月 十四日 为国特 操纵 黑团 百余人 恩县 孔庄 大肆 抢掠 杀害 民兵 午后 该县 县 大队 民兵 协力 下 其 击溃
95,第2版,1946-05-31,杨 主席 致函 上海 联总 商讨 边区 救济 问题 希望 能 救济 我区 物资 运 邯 统一分配 本报讯 边府 杨 主席 秀峰 五月 二十六日 致书 上海 联合国 救济 总署 驻华 办事处 商讨 今后 边区 救济 工作 实施 协作 问题 略称 晋冀鲁豫 边区 包括 四省 一百七十四 个 县份 三千万 人口 边区 行政 统一 但 贵署 救济 工作 则 以省 区划 设 办事处 分 省 进行 因此 工作 反多 不便 例如 山西 中部 十八 县 阎锡山 县 政权 中心 施行 救济 对于 各 该县 隶属 本区 广大 乡村 照顾 感 困难 贵署 对 本 边区 救济 物资 分配 运输 须 青岛 天津 太原 开封 四个 办事处 分别 会商 分 道 运输 目前 行政 组织 交通不便 情况 下 亦 必然 使 双方 会 感到 困难 时间 上亦殊 经济 为此 希望 贵署 如能 本 边区 救济 人民 一切 物资 均 上海 经 徐州 开封 新乡 安阳 运至 水冶镇 再 接连 邯郸 协同 贵署 派员 统一分配 实较 捷 便 如荷 同意 付诸实施 救济 工作 组织 负责 亦 当 另行 决定 改变 现行 多方 负责制 邯郸 建立 联合 办事处 似有 必要 未识 以为 如何 统请 考虑 见复
96,第2版,1946-05-28,滑县 道口 市 修造船 只 恢复 河运 本报 荷泽 滑县 道口 市 准备 载运 麦粮 恢复 河运 沟通 贸易 现已 公营 商店 发放 一百七十 万元 之无利 贷款 以供 船商 修造船 只 卫河 在战前 河运 通畅 沿 码头 船只 连接 八里 长 自 敌人 占据 水路 断绝 全市 三分之一 船商及 工人失业 现得 公营 商店 贷款 正 赶工 修造船 只 十四只 雇用 工人 一百五十名 每天 可 载运 六百 石 因 河运 恢复 道口 工商业 更 发达
97,第1版,1946-05-23,山东 国民党 军两师 进犯 历城 地区 军民 奋战 恢复 中宫 镇 博山 二十日 济南 国民党 十二 军 一一 一师 九十六 军暂 十五 师 大举进犯 山东 解放区 历城 地区 十二日 强占 大 涧沟 店子 中宫 均 济南 以南 三十余里 村镇 二十四 处 历城 邵津区 泉路区 大部 村庄 亦 全 侵陷 所到之处 摧残 抗属 群众组织 两仙沟 中宫 一带 民粮 抢 一空 当地 军 民愤 可言 奋起 自卫 十六日 恢复 中宫 镇 该镇 历城 解放区 中心 临沂 二十日 山东 国民党 军 扩充 内战 实力 不少 伪军 编成 国军 伪鲁东 和平 救国军 蔡警 宇部 伪 国民 自卫军 第三军 张步 云部 伪军 姜 黎川 等部 编 九十六 军 独立团 伪 高密 警备队 杜耀廷部 伪 青岛 保安 总队 第四 联队 相明忱 部 编 第八 军 独立团 伪三 方面军 第六 军属 徐振 中部 伪 剿共 建国 军 第二 纵队 属 翟润卿部 伪 山东 保安 第二 总队 李法 保等部 编为 新 三十六 师 一九四四年 冲阳 战役 之降 孙鸣玉 方先觉 同时 一九四四年 敌放回 进行 诱降 活动 师长 编入 第十二 军 建制 独立 纵队 及伪 李华部 编入 五十一 军
98,第2版,1946-05-29,太行 小麦 发生 黄疸病 农林局 指出 黄疸 收 说法 对 号召 选种 浸种 预防 明年 本报 长治 太行 各地 普遍 发生 小麦 黄疸病 尤以 六九 小麦 更为严重 据 专区 农林局 报导 此种 病害 冀南 冀鲁豫 产麦 地区 亦 正 发展 从 邢台 武安 直到 太行 区内 地上 党 一带 广大 麦田 蒙着 一层 病态 橙色 远 民国 四年 北平 近郊 小麦 曾 因此 种 病害 竟 至 减少 收成 七至 八成 现 各 县政府 群众 对此 均 十分 焦虑 纷纷 致函 太行 新华日报 要求 提供 救治 办法 但据 农林局 研究 黄疸病 系 一种 传染病 普遍 蔓延 原因 今春 雨水 过多 事后 挽救 实施 良法 只有 及早 预防 明年 病株 不多时 立即 拢 掉 亦可 减少 蔓延 但 各地 群众 部分 仍 迷信 黑疸 丢 黄疸 收 说法 认识 这种 危险 为此 农林局 特 提出 明年 预防 方法 号召 群众 麦收 时 进行 田间 选种 今秋 下种 时 实行 盐水 浸种 法 其法 五斤 水 一斤 盐 盐水 浸泡 麦种 小时 捞出 再 清凉 水 洗净 晒干 否则 继续 贻害 明年
99,第1版,1946-05-25,美国 工潮 起 杜鲁门 调解 铁路 工潮 失败 廾 五万 工人 开始 总罢工 延安 二十二日 华府 纽约时报 所 称 美国 巨大 国内 危机 前 瞬息 时刻 即将 结束 面临 铁道 煤矿 两大 工潮 严重威胁 即将 开始 杜鲁门 总统 调解 铁道 工潮 失败 十七日 下令 接管 铁路 但 二十五万 铁路工人 仍 订于 二十四日 开始 全国 范围 总罢工 杜鲁门 对 煤业 工潮 调停 因 资方 拒绝 劳方 福利 基金 要求 而告 破裂 四十万 煤矿工人 亦 决于 二十六日 重 行 罢工
100,第2版,1946-05-30,石塘 人们 新生 淮安 通讯 淮安 石塘 区 群众运动 本社 前 已有 报导 这篇 通讯 系 叙述 群众运动 人民 如何 选举 政府 如何 加紧 生产 情形 编者 天大 喜事 石塘 区 这次 减租 惩奸 运动 许多 大 地主 算 退租 帐时 因退 不出 粮 自愿 一部 田地 抵算 因此 佃户 获得 少数 土地 这 大 地主 们 无足轻重 但 佃户 却是 件 天大 喜事 佃户 们 几十年 甚至 几百年 几千年 不曾有过 土地 父亲 祖父 乃至 曾祖 一直 种 人家 田 正如 许多 佃户 所说 连登尿 马子 地方 主人 要 包租 但是 现在 呢 许多 佃户 屋基 登尿 马子 地方 再也 不是 主人 色 桥西 徐庄 佃户 们 开 胜利 翻身 大会 鞭炮 连天 响 花船 高跷 子浪 过来 浪 过去 热狂 地为 这件 天大 喜事 庆祝 恭喜 恭喜 佃户 们 一进 会场 拱手 笑 互相 道贺 杨柳 唐 过去 受苦 弄 些 钱 想 买 二亩 屋基 但 穷人 买不到 田 终于 给 地主 刘鸿如 垫 价买 去 刘鸿如 对 你 有命 买 田 无命 买天 意思 穷人 有钱 买田 但 天下 不是 穷人 田 仍旧 买不到 这次 算 退租 帐 刘愿 以田 抵算 地主 们 给 佃户 做 新 契 佃户 们 拿 新契 讨论 如何 等到 麦收 下来 以后 政府 去 税 把 契 当做 一份 珍贵 天书 藏 起来 佃户 把 契 拿给 这个 看看 拿给 那个 看看 逢 现在 可 翻身 啦 那些 年纪 大 老爷爷 激动 地说 那 一世 有过 田 啊 第一次 做 主人 选 乡长 这 石塘 区鹅钱 乡 还是 从古到今 第一次 老百姓 过去 根本 没听说过 选 乡长 这件 事 以为 乡长 就是 上面 派 下来 官 但 这次 减租 以后 老百姓 思想 发生 变化 想 现在 民主 人民 自己 要 做主 要 想 彻底 翻身 就要 老百姓 自己 带头 乡长 八 十几个 代表 带 全乡 人民 希望 带 一双 锐利 眼睛 舒大庄选 乡长 代表 们 很多 妇女 她们 今天 特别 高兴 因为 她们 参加 选举 代表 们 眼睛 像 透视 镜子 钉住 提出 候选人 转 选 那个 好 呢 七个 行政 委员 选出 非常 郑重 地 选出 其中 贫农 两个 抗属 士绅 工人 中农 富农 各 一个 赵必文 做 乡长 新选 委员 站 台前 忸 忸怩 怩 代表 们 像 看 新娘子 似的 贪婪 看着 新 选出 领袖 掌声 欢笑 混成 一片 你们 以后 要 好好 帮 办事 代表 当场 对 新选 委员 提出 意见 要 领导 求得 彻底 翻身 什么 事 不能 独断独行 要 通过 大家 商量 这是 希望 个 泥腿子 苏北 土语 意即 农民 大家 既然 选举 我要 给 大家 好好 地 办事 赵必文 代表 全体 委员 接受 意见 说话 脸 红红的 像 个 大闺女 以后 希望 大家 多 帮助 若 对 地方 各位 马上 提出 帮助 改正 若 对 不提 害 害 大家 代表 们 离开 会场 回去 走 路上 还 谈 还 笑 因为 今天 第一次 做 主人 下劲 闹 生产 石塘 区 邱大庄 二十一个 乡民 二字沟 挖沟 全是 刚 翻身 农民 想 今年 一定 要 栽秋 可 不能 像 去年 一样 荒 下去 有些 人站 沟底 有些 人站 沟沿 下 淤泥 从 沟底 上用 锹 岸上 传送 传送 沟底 裤管 卷 膝盖 两脚 满 泥浆 像 穿 一双 长统 乌黑 皮鞋 笑 工作 心里 欢悦 止不住 从 笑声 泄露 出来 温和 春风 吹 去 脸上 愁苦 这条 沟 二年 没有 挖过 再 挖 还 想 栽秧 吗 真的 二字 沟 淤泥 已积 二三尺 深 这条 沟 通过 河 每年 两岸 田 指望 它 水 呢 自从 共产党 魏景元 一锹 把 泥 摔 岸上 人民 日子 过 领导 人民 翻身 领导 人民 生产 全是 人民 啊 魏景元 抹掉 头上 汗 望 紧靠 邱大庄 西边 西 刘 圩 听说 刘 圩子 各家 订出 生产 计划 买 猪 割草 挖沟 修车 预备 下劲 闹 生产 啦 要 走 头里 下劲 闹 啊 邱大庄 挖沟 还 想 带朵 大红花 呢 魏景元 队长 笑 鼓励 大家 大会 曾 提出 比较 谁 好 谁 快 带 大红花 头子 沟 三子 沟 规定 别的 庄子 挖 为什么 还 动工 呢 闹 好 推 一把 不愁 挖 呢 金步 云向 南望 一望 忽然 喂 马庄村 动工 头子 沟是 马村 负责 大家 听 头 抬起 南望 果然 从 碧绿 秧浪 上望 过去 远远 沟沿 露出 几个 人头 一块 一块 泥土 正在 规律 地 从 沟底 飞 岸上 现在 提到 生产 那个 高兴 现在 大家 苦 苦 得 有劲 大家 看到 马庄村 动 工 兴奋 起来 那个 高兴 现在 苦 苦 得 个 盼头 李凤英 站 沟底 下 挖 一锹 泥 她 跟 男子汉 一样 地 挖沟 好 三年 以后 看 这里 怎样 一个 地方 魏景元 骄傲地 大家 脑海 里 浮现 出 一幅 非常 美丽 远景 笑 傍晚 太阳 还有 丈 把 高 大家 坐在 河岸 休息 抽着 旱烟 今天 闹 好 三十丈 怎么样 歇工 吧 不再 闹 一小 段 好 再 闹 一小 段 大家 跳 下 沟 几十个 小孩子 大姑娘 麦田 里 抢 拔 青草 准备 回去 作 肥料 闹嚷嚷 远远地 传来 一片 欢愉 笑声
101,第1版,1946-05-26,满洲 红军 如期 撤完 延安 二十三日 莫斯科 今日 广播 满洲 红军 全部 撤完 塔斯社 伯力 二十日 自 马林诺夫斯基 元帅 总部 获悉 五月 三日 红军 从 满洲 撤退 工作 业已 完成 三月底 所 宣布 苏军 从 满洲 撤退 计划 完全 实现
102,第1版,1946-05-20,江西 一片 悲惨 景象 南昌 通讯 延安 十七日 南昌 通讯 江西 经过 敌寇 八年 蹂躏 全省 百分之七十 六 以上 城市 乡村 呈现 眼前 一片 悲惨 残破 凋零 景象 据 江西省 统计 处 初步统计 八年 人口 伤亡 五十万 零 四千余 人民 财产损失 国币 九千 三百余万 万 耕牛 损失 二十 六万九千 余 头 战争 结束 人民 希望 复苏 但是 面临 另 一个 可怕 灾难 饥饿 灾荒 普遍 流行 瘟疫 无穷尽 苛捐杂税 南昌 为例 自 胜利 到来 物价 一直 向上 跑 特别 粮价 一马当先 半年 多来 翻 数十倍 按 三月 间 每石 达 三万 现当远 超此数 饱受 敌伪 摧残 老百姓 自然 无钱 买 米 充饥 只好 用 草根 树皮 苟延 残余 生命 赣北 高安 德安 奉新 高等 县 现在 往往 数十里 没有 人烟 田地 荒芜 达 三四百 万亩 耕牛 杀光 籽种 抢光 赣西 萍乡 一带 去年 还 遭到 几十年 未 见 旱灾 早稻 颗粒无收 晚稻 收成 不及 三成 现在 陷入 严重 春荒 疫疠 灾荒 好象 一对 孪生兄弟 今春 鼠疫 黑手 光临 南部 其他 传染病 到处 流行 雩 银坑 镇 发生 脑膜 灾 不到 一个月 便 死 五十多个 乡民 接着 兴国 永修 以及 南昌 附近 发现 最近 麻疹 天花 流行 南昌 九江 可以 打破 历年 纪录 当局 对此 满 关心 人民 虽然 呻吟 嗷嗷待哺 政府 却 摊派 二百万 石 巨额 粮食 拿 峡江 一个 小县 现在 人口 只 剩 三万多 可是 征获 余粮 数额 分配 十万 石之多 照 目前 人数 连 吃奶 婴儿 包括 在内 每个 人要 出三石 粮 征粮 之外 地方 保甲 长 一条条 吸血虫 距 南昌 不过 二十里 农村 保甲 长 每月 要 捐派 人民 二千元 南昌 近郊 商店 每人 每月 不论 大小 买卖 至少 得出 捐税 一百元 什么 修 路费 呀 清洁 捐 呀 就是 刚满 过 周岁 孩子 要 派工 修路 不能 做 就要 出钱
103,第2版,1946-05-23,民主 政府 发放 巨大 贷款 恢复 两淮 长芦 二大 盐场 产盐 可供 两 万万 以上 人口 食用 国民党 蓄意 破坏 盐滩 坚决 自卫 淮阴 二十日 我国 第一 大 盐场 两淮 盐区 占 全国 食盐 总产量 百分之二十二 强 供给 食用 人口 一万万 二千万 以上 其 淮南 盐场 位于 旧 黄河 以南 早 三十年 我军 收复 淮北 盐场 位于 旧 黄河 以北 去年 九月 间始 我军 收复 沦陷 八年 所有 生产工具 如 发电厂 吸水机 风力 水车 沟道 闸门 蓄水池 蒸发 池 等等 均 敌人 破坏 无遗 盐民 大部 逃亡 收复 苏皖 边区 政府 饬 令 银行 贷放 巨款 约合 法币 三十 亿元 从事 修复 至 目前为止 全部 生产工具 业已 购置 齐备 所有 盐田 均 修复 气象一新 现正 兴工 疏浚 运 盐 河 建立 晒场 普遍 建立 营房 添补 轮船 码头 沦陷 期间 逃亡 盐民 均 纷纷 迁回 因 现在 生活 改善 生产 情绪 颇 高 故 今年 潮水 取进 卤汁 较往年 增加一倍 春扫 现已 开始 新盐 色泽 雪白 颗粒 亦 大 平均 氯化钠 含量 均 百分之九十 以上 遵化 二十日 位于 宁河县 北 渤海 之滨 我国 著名 长 芦盐 滩 自 去年 八月 冀东 八路军 从 敌伪 手中 解放后 发放贷款 改善 盐工 生活 加以 科学管理 情形 极为 良好 预计 今年 可产盐 十万 万斤 该 盐滩 主要 汉沽 盐滩 包括 三十四个 村庄 长 四十余里 宽 二十余里 总面积 约 一千七百 五十多 顷 三百 七十多个 盐滩 数万 盐民 此 从事 劳作 未 敌人 破坏 之前 年 可产盐 三十万 万斤 海陆 两路 运往 平津 及冀 晋 各地 近 数年 一落千丈 自从 八路军 解放后 整个 盐滩 民主 政府 设立 盐务 管理处 锐意 经营 帮助 盐民 组织 自卫 团 去年 年底 贷给 每个 工人 小米 二十五斤 工资 亦 每天 小米 十二斤 增至 十六斤 灶户 工人 订立 劳资 合同 工人 因 生活 改善 生产 效率 随之 提高 现除 日寇 破坏 一部分 尚 不能 开滩 外 已有 二百一十 五个 恢复 产盐 晋察冀边区 政府 拨 贷款 边币 五千万元 折合 法币 一万 万元 设立 四个 推销 处 一个 硝磺 局 一个 鱼局 现已 三个 推销 处 开始 卖盐 每日 来此 运盐 者 络绎不绝 为了 迅速 整顿 盐务 使 企业化 盐务 处特 组织 盐业 公司 招集 私股 帮助 旧有 灶户 制盐 帮助 工人 成立 合作社 解决 购物 困难 去年 九月 三十日 国民党 反动派 竟 突然 大军 袭击 占领 汉沽 盐滩 中心 塞上 整个 盐湾 其 占去 十分 之二 一万 盐民 重陷 苦海 国民党 苛捐杂税 下 每擎 盐 最低 三十元 超过 解放区 盐价 三倍 以上 当 盐户 过路 时 国民党 军 勒索 二十元 法币 买路钱 人民 痛苦不堪 今年 四月 二十一日 天津 国民党 当局 派 张旭 武 何其 文 前来 谈判 接收 人民 闻讯 一致 起来 反对 国民党 反动派 贪心 不死 遂 四月 二十七 八 两日 伪装 盐警 塞上 增兵 三百 二十余 企图 魔手 伸入 整个 盐滩 冀东 八路军 当局 为此 发出 郑重声明 若 国民党 军 胆敢 侵犯 盐滩 八路军 十余万 人民 坚决 自卫
104,第3版,1946-05-15,片山 组阁 搁浅 日共 力主 联合内阁 延安 十二日 东京 日本 社会党 领导人 日来 日共 谈判 组织 新闻 问题 日共 力主 民主 阵线 基础 建立 民主 政府 反对 社会党 自由 党内 战犯 合作 提议 日共 社会党 合组 民主 阵线 内阁 要求 币原 屡次 拒绝 现在 重提 此一 要求 日共 总书记 德田球 一向 币原 警告 称 你 已经 辞职 因此 你 对 新闻 组成 问题 无权 强施 任何 条件 日共 领袖 冈野 进称 如果 你 表明态度 就要 天享 那里 直接 辩论 去 币原 迄未 置答 延安 十一日 综合 报导 币原 决定 社会党 前译 社会民主党 以后 均 改现 译名 书记 片山 组阁 据 路透 合众社 报导 社会党 内部 展开 激烈 斗争 加藤 勘十等 左派 领袖 领导 群众 坚主 日共 民主党派 成立 联合内阁 主张 待 成立 协议 日皇 再 正式 任命 片山 组阁 平野 河野 密等 右派 按 曾 策 任命 侵华 战争 幕后人物 则 主张 自由党 联合 组阁 敦促 日皇 立即 动 片山 组阁 水谷 长三 郎 派 偏左 一部分 人士 主张 新阁 中以 社会党 为主 干 联合 自由党 国民 协同 党 组阁 同时 容纳 日共 日共 争取 民主 联合内阁 实现 曾 对 片山 提出 妥协 条件 片山 如 同意 宪法 延期 讨论 日 皇定 本月 十五日 召集 临时 新 议会 讨论 从 新 宪法 条件 废除 天皇 特权 日共 可以 允许 如 英国式 皇室 存在
105,第2版,1946-05-24,边府 十月 召开 全区 扩大 教育 会议 本市 边府 教育厅 推动 全 边区 教育 干部 进一步 明确 教育 人民 服务 从 实际 出发 走 群众路线 思想 适应 和平 民主 时期 教育 新 方针 特 决定 今年 十月 二十日 邢台 召开 扩大 教育 会议 全区 各级 教育 领导 干部 均 参加 使 会议 内容 丰富 充实 必 结合 各类 教育 模范 典型 报告 举行 文教 展览会 各 行政区 除 对 本区 教育 概况 成绩 发展 规律 特别 领导 思想 执行 政策 作 全面 系统 总结 提交 会议 外 还须 注意 以下 两点 研究 总结 教育 生产 结合 经验 开展 今年 大规模 冬学 运动 二 总结 群众 翻身 自唱 自乐 农村 戏剧 运动
106,第2版,1946-05-15,新华书店 出 三种 期刊 本市 消息 华北 新华书店 除 编刊 新 大众 外 近拟 再 编辑 发行 三种 期刊 北方 杂志 大众 科学 小学生 前者 十六开 本 大型 综合性 月刊 作家 芜 煤 主编 两者 均 为卅二 开本 小型 杂志 这 三种 期刊 均 六月 初 出刊
